Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-03-24,125.99,241.77249999999998,32.23,76.9588888888889,106.2357142857143,68.452,21.348333333333333,1.343333333333333,24.247999999999998,3.154,12.073999999999998,,,0.77,1.34,28.485,40.80857142857143,1.0014285714285713,200.75857142857146,0.0,0.0,172.00571428571428,842.7719999999999,0.085
2017-03-25,93.63374999999999,205.7525,26.515555555555558,57.117777777777775,75.65428571428572,47.214,15.018333333333333,1.1333333333333333,32.242000000000004,2.9560000000000004,9.266,,,0.59,1.41,27.137500000000003,36.574285714285715,1.1999999999999997,227.36428571428573,0.0,0.0,181.8614285714286,842.934,0.0925
2017-03-26,81.235,216.305,24.51125,53.584999999999994,68.31285714285714,43.405,16.001666666666665,1.1733333333333333,36.286,2.846,7.903999999999999,,,0.56,1.07,28.659999999999997,34.53714285714286,1.3957142857142857,238.0157142857143,0.0,0.0,199.74714285714285,843.192,0.1
2017-03-27,92.66875000000002,195.35000000000002,22.703333333333333,55.2111111111111,67.97571428571429,45.658,16.255,1.1500000000000001,39.926,2.778,7.7379999999999995,,,0.64,1.5,30.285,34.21714285714286,1.4128571428571426,232.89000000000001,0.0,0.0,191.28857142857143,842.824,0.10500000000000001
2017-03-28,127.86250000000003,267.545,33.55555555555556,62.36777777777778,87.57714285714285,54.69,17.006666666666668,1.3666666666666665,32.244,4.428,12.404,,,0.9,2.67,32.6175,33.99142857142857,1.1285714285714286,232.93714285714285,0.0,0.0,204.62857142857143,842.394,0.1
2017-03-29,85.76714285714287,257.7975,36.103333333333325,57.48555555555556,87.91285714285712,49.089999999999996,17.103333333333335,1.4133333333333333,26.354000000000003,3.594,16.381999999999998,,,0.7,1.55,32.85,30.84857142857143,1.302857142857143,224.66571428571427,0.0,0.0,199.12714285714287,841.8400000000001,0.1
2017-03-30,51.93166666666667,184.29999999999998,28.623333333333335,51.90777777777778,75.07000000000001,45.696000000000005,15.545,1.2666666666666666,27.094,2.98,9.43,,,2.06,6.19,31.905,33.605714285714285,1.2285714285714284,226.22428571428568,0.0,0.0,168.64285714285714,841.682,0.06
2017-03-31,85.23428571428573,349.0625,41.67111111111111,64.15333333333334,100.90285714285713,55.48199999999999,18.808333333333334,1.6000000000000003,34.704,3.56,11.690000000000001,,,10.49,3.83,32.277499999999996,30.861428571428572,0.8614285714285713,217.80714285714288,0.0,0.0,169.00285714285715,841.818,0.0875
2017-04-01,92.35249999999999,234.3675,40.1725,62.735,93.18714285714286,54.426,23.06833333333333,5.142,26.477500000000003,5.056,9.236,1.85,,12.06,7.02,31.6175,32.279999999999994,0.8942857142857142,225.48375,0.0,0.0,163.05857142857144,825.3366666666667,0.1366666666666667
2017-04-02,73.00375000000001,176.86,25.557499999999997,59.9275,75.19285714285715,47.75,18.366666666666664,5.656000000000001,50.985,4.311999999999999,6.609999999999999,0.93,,29.36,44.449999999999996,33.105,26.295,1.2014285714285715,232.91625000000002,0.0,0.0,186.46142857142857,827.7266666666666,0.13
2017-04-03,70.4,179.3675,29.947777777777773,61.18777777777778,84.96857142857142,47.67,21.650000000000002,1.032,38.019999999999996,3.3266666666666667,9.676666666666668,1.54,,17.655,34.405,32.785,22.361666666666665,0.982857142857143,220.06875000000005,0.0,0.0,199.3542857142857,824.7433333333332,0.0925
